State,IP
AL,
AK,255.5705227
AZ,338.3931748
AR,207.8649923
CA,215.9017226
CO,236.1114853
CT,391.7554971
DE,272.1170582
FL,375.4136217
GA,124.0894738
HI,161.8774688
ID,
IL,348.3458208
IN,294.1083234
IA,146.6031935
KS,177.2853221
KY,445.3632056
LA,231.5082969
ME,322.604666
MD,460.3430674
MA,463.7651314
MI,342.7609945
MN,363.171917
MS,225.9216207
MO,345.6127624
MT,294.4105885
NE,168.4928942
NV,262.9049365
NH,
NJ,351.4050054
NM,354.3744352
NY,428.0519378
NC,313.3786066
ND,284.0420916
OH,420.4927947
OK,216.9639345
OR,370.0188795
PA,362.8521225
RI,447.5894234
SC,185.2042981
SD,162.2070167
TN,425.638442
TX,131.3772709
UT,313.752006
VT,264.6728829
VA,225.9680356
WA,395.435374
WV,423.2853139
WI,261.6179369
WY,127.6103039
